daily,products,payment_amount,order_count
2021-05-18T00:00:00,p_0,102.475,3
2021-05-18T00:00:00,p_1,41.28,2
2021-05-18T00:00:00,p_10,56.970000000000006,3
2021-05-18T00:00:00,p_100,43.019999999999996,1
2021-05-18T00:00:00,p_101,96.87,2
2021-05-18T00:00:00,p_102,32.185,1
2021-05-18T00:00:00,p_103,140.24,3
2021-05-18T00:00:00,p_104,34.864999999999995,1
2021-05-18T00:00:00,p_106,21.62,1
2021-05-18T00:00:00,p_107,26.62,2
2021-05-18T00:00:00,p_108,57.21000000000001,1
2021-05-18T00:00:00,p_109,28.299999999999997,1
2021-05-18T00:00:00,p_11,32.754999999999995,1
2021-05-18T00:00:00,p_110,54.985,2
2021-05-18T00:00:00,p_111,81.195,2
2021-05-18T00:00:00,p_112,69.74499999999999,2
2021-05-18T00:00:00,p_113,56.375,2
2021-05-18T00:00:00,p_114,109.33500000000001,3
2021-05-18T00:00:00,p_115,75.16,2
2021-05-18T00:00:00,p_116,132.71499999999997,3
2021-05-18T00:00:00,p_117,30.205000000000005,1
2021-05-18T00:00:00,p_119,138.15,4
2021-05-18T00:00:00,p_12,46.295,2
2021-05-18T00:00:00,p_120,128.32,5
2021-05-18T00:00:00,p_121,40.91,1
2021-05-18T00:00:00,p_122,109.10999999999999,4
2021-05-18T00:00:00,p_123,58.175,2
2021-05-18T00:00:00,p_124,28.075000000000003,1
2021-05-18T00:00:00,p_125,13.555,1
2021-05-18T00:00:00,p_126,28.299999999999997,1
2021-05-18T00:00:00,p_127,34.879999999999995,1
2021-05-18T00:00:00,p_128,81.09,2
2021-05-18T00:00:00,p_129,68.13499999999999,2
2021-05-18T00:00:00,p_13,24.105,1
2021-05-18T00:00:00,p_130,131.77,4
2021-05-18T00:00:00,p_133,18.015,2
2021-05-18T00:00:00,p_134,57.21000000000001,1
2021-05-18T00:00:00,p_135,32.754999999999995,1
2021-05-18T00:00:00,p_136,40.91,1
2021-05-18T00:00:00,p_137,101.85000000000001,3
2021-05-18T00:00:00,p_138,65.725,2
2021-05-18T00:00:00,p_139,32.754999999999995,1
2021-05-18T00:00:00,p_140,49.934999999999995,1
2021-05-18T00:00:00,p_141,54.005,1
2021-05-18T00:00:00,p_142,101.755,4
2021-05-18T00:00:00,p_143,21.315,2
2021-05-18T00:00:00,p_144,43.355000000000004,2
2021-05-18T00:00:00,p_145,100.05,4
2021-05-18T00:00:00,p_146,93.84,4
2021-05-18T00:00:00,p_148,54.005,1
2021-05-18T00:00:00,p_149,96.02000000000001,3
2021-05-18T00:00:00,p_150,56.025,2
2021-05-18T00:00:00,p_151,69.825,2
2021-05-18T00:00:00,p_152,82.08000000000001,2
2021-05-18T00:00:00,p_153,57.300000000000004,3
2021-05-18T00:00:00,p_154,51.52,2
2021-05-18T00:00:00,p_155,30.765,2
2021-05-18T00:00:00,p_156,40.625,1
2021-05-18T00:00:00,p_157,143.34500000000003,3
2021-05-18T00:00:00,p_158,61.275000000000006,2
2021-05-18T00:00:00,p_159,32.754999999999995,1
2021-05-18T00:00:00,p_160,27.025,2
2021-05-18T00:00:00,p_161,145.32000000000002,5
2021-05-18T00:00:00,p_162,8.575,1
2021-05-18T00:00:00,p_163,113.125,3
2021-05-18T00:00:00,p_164,114.94500000000001,3
2021-05-18T00:00:00,p_166,32.185,1
2021-05-18T00:00:00,p_167,39.06,1
2021-05-18T00:00:00,p_168,63.17999999999999,2
2021-05-18T00:00:00,p_169,75.45,2
2021-05-18T00:00:00,p_170,68.08,2
2021-05-18T00:00:00,p_171,133.79500000000002,3
2021-05-18T00:00:00,p_172,172.315,6
2021-05-18T00:00:00,p_173,43.83,1
2021-05-18T00:00:00,p_174,124.04,4
2021-05-18T00:00:00,p_175,34.93,1
2021-05-18T00:00:00,p_176,84.06,3
2021-05-18T00:00:00,p_177,37.905,1
2021-05-18T00:00:00,p_178,39.63,2
2021-05-18T00:00:00,p_179,55.96000000000001,1
2021-05-18T00:00:00,p_18,97.88,3
2021-05-18T00:00:00,p_183,30.175,1
2021-05-18T00:00:00,p_184,117.49000000000001,3
2021-05-18T00:00:00,p_185,28.299999999999997,1
2021-05-18T00:00:00,p_186,32.43000000000001,1
2021-05-18T00:00:00,p_187,61.99,3
2021-05-18T00:00:00,p_188,35.755,1
2021-05-18T00:00:00,p_19,167.65,4
2021-05-18T00:00:00,p_191,82.36500000000001,2
2021-05-18T00:00:00,p_192,84.55,3
2021-05-18T00:00:00,p_193,49.46,2
2021-05-18T00:00:00,p_194,61.035000000000004,2
2021-05-18T00:00:00,p_195,108.405,3
2021-05-18T00:00:00,p_197,50.709999999999994,2
2021-05-18T00:00:00,p_198,220.43,6
2021-05-18T00:00:00,p_199,178.34500000000003,5
2021-05-18T00:00:00,p_2,56.935,2
2021-05-18T00:00:00,p_20,67.89,2
2021-05-18T00:00:00,p_21,96.88500000000002,2
2021-05-18T00:00:00,p_22,189.66,5
2021-05-18T00:00:00,p_23,24.814999999999998,1
2021-05-18T00:00:00,p_24,33.925,2
2021-05-18T00:00:00,p_25,38.6,1
2021-05-18T00:00:00,p_26,111.27000000000001,3
2021-05-18T00:00:00,p_27,2.655,1
2021-05-18T00:00:00,p_28,66.51,2
2021-05-18T00:00:00,p_29,132.18,3
2021-05-18T00:00:00,p_30,89.655,3
2021-05-18T00:00:00,p_31,15.299999999999999,1
2021-05-18T00:00:00,p_32,92.10000000000002,3
2021-05-18T00:00:00,p_33,125.36,4
2021-05-18T00:00:00,p_35,79.11,3
2021-05-18T00:00:00,p_36,37.365,1
2021-05-18T00:00:00,p_38,100.27999999999999,3
2021-05-18T00:00:00,p_4,71.095,2
2021-05-18T00:00:00,p_40,43.765,1
2021-05-18T00:00:00,p_42,57.21000000000001,1
2021-05-18T00:00:00,p_43,79.385,3
2021-05-18T00:00:00,p_44,64.11,2
2021-05-18T00:00:00,p_45,65.385,2
2021-05-18T00:00:00,p_46,54.825,2
2021-05-18T00:00:00,p_47,91.77499999999999,2
2021-05-18T00:00:00,p_48,146.00000000000003,4
2021-05-18T00:00:00,p_49,76.66499999999999,2
2021-05-18T00:00:00,p_5,43.405,1
2021-05-18T00:00:00,p_50,22.195,1
2021-05-18T00:00:00,p_51,60.485,2
2021-05-18T00:00:00,p_52,43.405,1
2021-05-18T00:00:00,p_53,62.82,2
2021-05-18T00:00:00,p_54,8.825,1
2021-05-18T00:00:00,p_55,54.005,1
2021-05-18T00:00:00,p_56,43.405,1
2021-05-18T00:00:00,p_57,59.714999999999996,2
2021-05-18T00:00:00,p_58,64.88,2
2021-05-18T00:00:00,p_59,32.96,1
2021-05-18T00:00:00,p_6,84.44500000000001,2
2021-05-18T00:00:00,p_60,87.57,3
2021-05-18T00:00:00,p_62,89.965,2
2021-05-18T00:00:00,p_63,108.98000000000002,2
2021-05-18T00:00:00,p_64,41.839999999999996,1
2021-05-18T00:00:00,p_66,130.23000000000002,6
2021-05-18T00:00:00,p_67,120.765,3
2021-05-18T00:00:00,p_68,15.299999999999999,1
2021-05-18T00:00:00,p_69,53.265,2
2021-05-18T00:00:00,p_7,62.309999999999995,2
2021-05-18T00:00:00,p_70,68.805,2
2021-05-18T00:00:00,p_71,164.85500000000002,5
2021-05-18T00:00:00,p_72,99.10000000000002,3
2021-05-18T00:00:00,p_73,137.055,4
2021-05-18T00:00:00,p_74,86.425,2
2021-05-18T00:00:00,p_75,82.99000000000001,3
2021-05-18T00:00:00,p_76,39.67500000000001,1
2021-05-18T00:00:00,p_77,67.22,2
2021-05-18T00:00:00,p_78,130.84,4
2021-05-18T00:00:00,p_79,95.53,3
2021-05-18T00:00:00,p_8,32.754999999999995,1
