session_start_date,hour,isoweekday,latitude,longitude,prepare,client,customer_anomaly,location_anomaly,weekday_hour_anomaly
2021-07-15T08:34:03,8,4,39.935068,32.93804900000001,4.083333333333333,u_u_1819707,0.0,1,1
2021-05-13T08:51:48,8,4,39.944068,32.903049,3.7333333333333334,u_u_1713837,0.0,1,1
2021-06-10T08:03:55,8,4,39.923581,32.838109,8.3,u_u_1170504,0.0,1,1
2021-08-19T08:10:12,8,4,39.941069999999996,32.878969000000005,5.866666666666666,u_u_1057030,0.0,1,1
2021-05-06T08:21:18,8,4,39.91507,32.863969000000004,7.1,u_u_1328627,0.0,1,1
2021-08-19T08:40:31,8,4,39.93307,32.912969000000004,1.9833333333333334,u_u_1900969,0.0,1,1
2021-08-12T08:49:46,8,4,39.903580999999996,32.835109,7.616666666666666,u_u_1381834,0.0,1,1
2021-07-29T08:15:23,8,4,39.995212,32.877037,4.766666666666667,u_230540,0.0,1,1
2021-06-03T08:12:57,8,4,39.938581,32.848109,2.1666666666666665,u_u_1427239,0.0,1,1
2021-07-01T08:40:02,8,4,39.956212,32.867037,12.283333333333333,u_u_1569077,0.0,1,1
2021-05-06T08:16:21,8,4,39.91807,32.875969000000005,4.85,u_u_1585997,0.0,1,1
2021-05-27T08:12:20,8,4,39.92107,32.896969000000006,3.716666666666667,u_103697,0.0,1,1
2021-08-26T08:23:08,8,4,39.957212,32.839037000000005,3.2666666666666666,u_u_1546695,0.0,1,1
2021-06-24T08:51:26,8,4,39.93307,32.860969000000004,10.616666666666667,u_u_1639705,0.0,1,1
2021-05-13T08:42:35,8,4,39.935069999999996,32.877969,6.766666666666667,u_499580,0.0,1,1
2021-08-05T08:56:57,8,4,39.950581,32.820109,12.083333333333334,u_u_1795785,0.0,1,1
2021-07-01T08:59:46,8,4,39.902581,32.825109000000005,9.916666666666666,u_u_1848448,0.0,1,1
2021-06-24T08:32:05,8,4,39.935581,32.830109,3.316666666666667,u_812536,0.0,1,1
2021-08-26T08:19:24,8,4,39.920069999999996,32.914969000000006,8.916666666666666,u_u_1460633,0.0,1,1
2021-07-15T08:21:45,8,4,39.963212,32.861037,9.583333333333334,u_u_1449586,0.0,1,1
2021-06-10T08:08:16,8,4,39.975212,32.881037000000006,3.8,u_u_1643331,0.0,1,1
2021-06-03T08:52:46,8,4,39.92707,32.891969,10.55,u_u_1291097,0.0,1,1
2021-07-08T08:19:24,8,4,39.947068,32.892049,3.0,u_u_1200768,0.0,1,1
2021-07-15T08:20:07,8,4,39.966212,32.864037,5.15,u_u_1893460,0.0,1,1
2021-08-05T08:22:17,8,4,39.90707,32.865969,4.466666666666667,u_u_1466915,1.0,0,1
2021-05-20T08:37:31,8,4,39.991212000000004,32.852037,11.3,u_u_1406457,0.0,1,1
2021-05-13T08:21:14,8,4,39.935581,32.848109,9.916666666666666,u_u_1617530,0.0,1,1
2021-06-10T08:37:24,8,4,39.924580999999996,32.869109,5.866666666666666,u_u_1436085,0.0,1,1
2021-05-27T08:09:46,8,4,39.970212000000004,32.870037,3.8333333333333335,u_u_1959194,0.0,1,1
2021-05-13T08:27:28,8,4,39.997212000000005,32.850037,5.55,u_u_1638836,0.0,1,1
2021-05-20T08:28:54,8,4,39.916067999999996,32.901049,7.5,u_u_1494170,0.0,1,1
2021-07-08T08:21:26,8,4,39.942581,32.823109,3.816666666666667,u_u_1211040,0.0,1,1
2021-06-10T08:00:46,8,4,39.990212,32.846037,7.733333333333333,u_u_1708926,0.0,1,1
2021-07-01T08:25:45,8,4,39.978212,32.862037,4.4,u_u_1635709,0.0,1,1
2021-05-27T08:03:48,8,4,39.954581,32.867109000000006,3.4833333333333334,u_u_1422387,0.0,1,1
2021-07-22T08:59:32,8,4,39.933581,32.817109,5.066666666666666,u_u_1943886,0.0,1,1
2021-07-15T08:05:48,8,4,39.934581,32.829109,6.333333333333333,u_u_1781563,0.0,1,1
2021-08-26T08:41:33,8,4,39.94707,32.874969,7.85,u_u_1634179,0.0,1,1
2021-07-29T08:55:08,8,4,39.900068,32.891049,5.05,u_u_1962879,0.0,1,1
2021-08-05T08:09:42,8,4,39.93007,32.866969000000005,6.55,u_u_1946016,0.0,1,1
2021-08-26T08:32:06,8,4,39.935069999999996,32.905969000000006,6.083333333333333,u_u_1083269,0.0,1,1
2021-06-17T08:37:41,8,4,39.982212000000004,32.850037,8.8,u_u_1512313,0.0,1,1
2021-07-22T08:38:47,8,4,39.911581,32.815109,9.266666666666667,u_u_1110471,0.0,1,1
2021-07-22T08:23:48,8,4,39.985212000000004,32.867037,8.466666666666667,u_u_1938454,1.0,0,1
2021-07-29T08:14:11,8,4,39.94507,32.894969,7.45,u_u_1913080,0.0,1,1
2021-06-17T08:54:27,8,4,39.923581,32.87010900000001,3.3666666666666667,u_u_1845048,0.0,1,1
