products,accept_Ratio,mean_validation,mean_control,is_orders_increased_per_products,diff
p_38,0.0,16.856726354453617,26.356106519742887,True,9.49938016528927
p_168,0.0,16.79376693766938,26.346815718157174,True,9.553048780487796
p_138,0.0,17.128587868682757,26.692100700757848,True,9.56351283207509
p_86,0.0,17.045447685806813,26.650141725064238,True,9.604694039257424
p_52,0.0,16.78980878731918,26.433602262234537,True,9.643793474915356
p_137,0.0,17.199638574865336,26.844189799473643,True,9.644551224608307
p_79,0.0,16.751569287389454,26.4273604249668,True,9.675791137577345
p_100,0.0,17.109881602914395,26.792167577413483,True,9.682285974499088
p_22,0.0,17.390444444444444,27.10615555555556,True,9.715711111111116
p_63,0.0,16.975934517513465,26.7028875132662,True,9.726952995752736
