daily,promotion_id,total_revenue
2021-05-18T00:00:00,promo_1,42.405
2021-05-18T00:00:00,promo_11,28.299999999999997
2021-05-18T00:00:00,promo_16,21.78
2021-05-18T00:00:00,promo_59,43.83
2021-05-18T00:00:00,promo_78,40.625
2021-05-18T00:00:00,promo_86,40.91
2021-05-19T00:00:00,promo_0,245.33500000000004
2021-05-19T00:00:00,promo_1,293.67999999999995
2021-05-19T00:00:00,promo_10,286.25
2021-05-19T00:00:00,promo_11,186.43500000000003
2021-05-19T00:00:00,promo_12,597.77
2021-05-19T00:00:00,promo_13,211.06499999999997
2021-05-19T00:00:00,promo_14,331.13499999999993
2021-05-19T00:00:00,promo_15,359.64500000000004
2021-05-19T00:00:00,promo_16,418.5900000000001
2021-05-19T00:00:00,promo_17,275.19
2021-05-19T00:00:00,promo_18,303.31
2021-05-19T00:00:00,promo_19,113.925
2021-05-19T00:00:00,promo_2,219.08999999999997
2021-05-19T00:00:00,promo_20,573.36
2021-05-19T00:00:00,promo_21,277.845
2021-05-19T00:00:00,promo_22,278.03
2021-05-19T00:00:00,promo_23,104.64999999999999
2021-05-19T00:00:00,promo_24,197.60500000000002
2021-05-19T00:00:00,promo_25,256.32500000000005
2021-05-19T00:00:00,promo_26,183.555
2021-05-19T00:00:00,promo_27,386.12999999999994
2021-05-19T00:00:00,promo_28,437.3300000000001
2021-05-19T00:00:00,promo_29,93.09999999999998
2021-05-19T00:00:00,promo_3,222.475
2021-05-19T00:00:00,promo_30,304.78999999999996
2021-05-19T00:00:00,promo_31,523.2850000000001
2021-05-19T00:00:00,promo_32,272.725
2021-05-19T00:00:00,promo_33,312.95
2021-05-19T00:00:00,promo_34,39.785000000000004
2021-05-19T00:00:00,promo_35,163.55500000000004
2021-05-19T00:00:00,promo_36,359.725
2021-05-19T00:00:00,promo_37,304.03
2021-05-19T00:00:00,promo_38,727.3250000000002
2021-05-19T00:00:00,promo_39,446.305
2021-05-19T00:00:00,promo_4,203.59
2021-05-19T00:00:00,promo_40,122.1
2021-05-19T00:00:00,promo_41,314.35
2021-05-19T00:00:00,promo_42,164.73000000000002
2021-05-19T00:00:00,promo_43,144.33
2021-05-19T00:00:00,promo_44,274.255
2021-05-19T00:00:00,promo_45,253.22
2021-05-19T00:00:00,promo_46,505.935
2021-05-19T00:00:00,promo_47,113.2
2021-05-19T00:00:00,promo_48,395.90500000000003
2021-05-19T00:00:00,promo_49,323.6449999999999
2021-05-19T00:00:00,promo_5,258.135
2021-05-19T00:00:00,promo_50,248.86500000000004
2021-05-19T00:00:00,promo_51,512.56
2021-05-19T00:00:00,promo_52,315.76000000000005
2021-05-19T00:00:00,promo_53,229.735
2021-05-19T00:00:00,promo_54,161.33499999999998
2021-05-19T00:00:00,promo_55,422.165
2021-05-19T00:00:00,promo_56,323.24
2021-05-19T00:00:00,promo_57,191.57500000000002
2021-05-19T00:00:00,promo_58,263.49
2021-05-19T00:00:00,promo_59,361.09
2021-05-19T00:00:00,promo_6,117.205
2021-05-19T00:00:00,promo_60,372.35499999999996
2021-05-19T00:00:00,promo_61,155.32
2021-05-19T00:00:00,promo_63,233.055
2021-05-19T00:00:00,promo_64,194.57500000000002
2021-05-19T00:00:00,promo_65,413.91500000000013
2021-05-19T00:00:00,promo_66,337.38999999999993
2021-05-19T00:00:00,promo_67,262.425
2021-05-19T00:00:00,promo_68,435.5400000000001
2021-05-19T00:00:00,promo_69,162.39999999999998
2021-05-19T00:00:00,promo_7,150.385
2021-05-19T00:00:00,promo_70,81.73
2021-05-19T00:00:00,promo_71,682.9450000000002
2021-05-19T00:00:00,promo_72,285.745
2021-05-19T00:00:00,promo_73,548.005
2021-05-19T00:00:00,promo_74,141.19000000000003
2021-05-19T00:00:00,promo_75,265.64
2021-05-19T00:00:00,promo_76,239.31
2021-05-19T00:00:00,promo_77,363.55000000000007
2021-05-19T00:00:00,promo_78,277.5
2021-05-19T00:00:00,promo_79,185.19
2021-05-19T00:00:00,promo_8,243.695
2021-05-19T00:00:00,promo_80,441.495
2021-05-19T00:00:00,promo_81,206.42
2021-05-19T00:00:00,promo_82,386.41499999999996
2021-05-19T00:00:00,promo_83,311.02
2021-05-19T00:00:00,promo_84,247.605
2021-05-19T00:00:00,promo_85,169.85999999999999
2021-05-19T00:00:00,promo_86,96.845
2021-05-19T00:00:00,promo_87,314.11
2021-05-19T00:00:00,promo_88,526.1099999999999
2021-05-19T00:00:00,promo_9,275.015
2021-05-19T00:00:00,promo_90,506.095
2021-05-19T00:00:00,promo_91,276.635
2021-05-19T00:00:00,promo_92,554.9550000000002
2021-05-19T00:00:00,promo_93,135.865
2021-05-19T00:00:00,promo_94,581.95
2021-05-19T00:00:00,promo_95,353.09000000000003
2021-05-19T00:00:00,promo_96,318.91
2021-05-19T00:00:00,promo_97,231.69000000000003
2021-05-19T00:00:00,promo_98,589.09
2021-05-19T00:00:00,promo_99,189.70000000000002
2021-05-20T00:00:00,promo_0,244.285
2021-05-20T00:00:00,promo_1,164.98499999999999
2021-05-20T00:00:00,promo_10,416.9
2021-05-20T00:00:00,promo_11,338.27
2021-05-20T00:00:00,promo_12,295.38
2021-05-20T00:00:00,promo_13,165.885
2021-05-20T00:00:00,promo_14,205.26
2021-05-20T00:00:00,promo_15,516.955
2021-05-20T00:00:00,promo_16,455.415
2021-05-20T00:00:00,promo_17,224.9
2021-05-20T00:00:00,promo_18,132.47
2021-05-20T00:00:00,promo_19,165.69
2021-05-20T00:00:00,promo_2,348.3
2021-05-20T00:00:00,promo_20,357.64500000000004
2021-05-20T00:00:00,promo_21,331.105
2021-05-20T00:00:00,promo_22,314.715
2021-05-20T00:00:00,promo_23,68.965
2021-05-20T00:00:00,promo_24,232.27500000000003
2021-05-20T00:00:00,promo_25,250.705
