promotions,accept_Ratio,mean_control,mean_validation,is_amount_increased_per_promotions,diff
promo_89,0.5666666666666667,28.775812226916337,28.0893621198555,False,-0.6864501070608355
promo_63,0.5,29.33732446315459,28.741650485185378,False,-0.5956739779692128
promo_23,0.6000000000000008,28.67014782105052,28.184481525656903,False,-0.4856662953936173
promo_43,0.616666666666667,28.21486867422545,27.750581941630774,False,-0.464286732594676
promo_56,0.4499999999999995,29.35731992004163,29.05687377920749,False,-0.3004461408341399
promo_52,0.6499999999999992,28.396757351139964,28.20765607029957,False,-0.18910128084039357
promo_79,0.5666666666666667,28.815034147485715,28.626752663025268,False,-0.1882814844604468
promo_22,0.5500000000000004,27.936023078948338,27.86166887718707,False,-0.07435420176126684
promo_14,0.533333333333334,28.18997386466736,28.145059724257287,False,-0.04491414041007147
promo_1,0.7166666666666666,28.03125002733535,28.02371951425052,False,-0.007530513084830659
