daily,promotion_id,order_count
2021-05-18T00:00:00,promo_1,1
2021-05-18T00:00:00,promo_11,1
2021-05-18T00:00:00,promo_16,1
2021-05-18T00:00:00,promo_59,1
2021-05-18T00:00:00,promo_78,1
2021-05-18T00:00:00,promo_86,1
2021-05-19T00:00:00,promo_0,9
2021-05-19T00:00:00,promo_1,8
2021-05-19T00:00:00,promo_10,9
2021-05-19T00:00:00,promo_11,6
2021-05-19T00:00:00,promo_12,20
2021-05-19T00:00:00,promo_13,8
2021-05-19T00:00:00,promo_14,10
2021-05-19T00:00:00,promo_15,13
2021-05-19T00:00:00,promo_16,16
2021-05-19T00:00:00,promo_17,9
2021-05-19T00:00:00,promo_18,11
2021-05-19T00:00:00,promo_19,3
2021-05-19T00:00:00,promo_2,7
2021-05-19T00:00:00,promo_20,20
2021-05-19T00:00:00,promo_21,10
2021-05-19T00:00:00,promo_22,11
2021-05-19T00:00:00,promo_23,5
2021-05-19T00:00:00,promo_24,6
2021-05-19T00:00:00,promo_25,12
2021-05-19T00:00:00,promo_26,6
2021-05-19T00:00:00,promo_27,10
2021-05-19T00:00:00,promo_28,14
2021-05-19T00:00:00,promo_29,3
2021-05-19T00:00:00,promo_3,10
2021-05-19T00:00:00,promo_30,12
2021-05-19T00:00:00,promo_31,17
2021-05-19T00:00:00,promo_32,9
2021-05-19T00:00:00,promo_33,9
2021-05-19T00:00:00,promo_34,1
2021-05-19T00:00:00,promo_35,6
2021-05-19T00:00:00,promo_36,12
2021-05-19T00:00:00,promo_37,10
2021-05-19T00:00:00,promo_38,20
2021-05-19T00:00:00,promo_39,15
2021-05-19T00:00:00,promo_4,8
2021-05-19T00:00:00,promo_40,4
2021-05-19T00:00:00,promo_41,10
2021-05-19T00:00:00,promo_42,5
2021-05-19T00:00:00,promo_43,8
2021-05-19T00:00:00,promo_44,10
2021-05-19T00:00:00,promo_45,10
2021-05-19T00:00:00,promo_46,15
2021-05-19T00:00:00,promo_47,4
2021-05-19T00:00:00,promo_48,12
2021-05-19T00:00:00,promo_49,13
2021-05-19T00:00:00,promo_5,8
2021-05-19T00:00:00,promo_50,9
2021-05-19T00:00:00,promo_51,17
2021-05-19T00:00:00,promo_52,11
2021-05-19T00:00:00,promo_53,8
2021-05-19T00:00:00,promo_54,5
2021-05-19T00:00:00,promo_55,14
2021-05-19T00:00:00,promo_56,11
2021-05-19T00:00:00,promo_57,6
2021-05-19T00:00:00,promo_58,8
2021-05-19T00:00:00,promo_59,13
2021-05-19T00:00:00,promo_6,5
2021-05-19T00:00:00,promo_60,11
2021-05-19T00:00:00,promo_61,6
2021-05-19T00:00:00,promo_63,9
2021-05-19T00:00:00,promo_64,9
2021-05-19T00:00:00,promo_65,15
2021-05-19T00:00:00,promo_66,11
2021-05-19T00:00:00,promo_67,10
2021-05-19T00:00:00,promo_68,15
2021-05-19T00:00:00,promo_69,6
2021-05-19T00:00:00,promo_7,5
2021-05-19T00:00:00,promo_70,3
2021-05-19T00:00:00,promo_71,22
2021-05-19T00:00:00,promo_72,8
2021-05-19T00:00:00,promo_73,16
2021-05-19T00:00:00,promo_74,5
2021-05-19T00:00:00,promo_75,9
2021-05-19T00:00:00,promo_76,8
2021-05-19T00:00:00,promo_77,11
2021-05-19T00:00:00,promo_78,12
2021-05-19T00:00:00,promo_79,8
2021-05-19T00:00:00,promo_8,7
2021-05-19T00:00:00,promo_80,11
2021-05-19T00:00:00,promo_81,6
2021-05-19T00:00:00,promo_82,14
2021-05-19T00:00:00,promo_83,10
2021-05-19T00:00:00,promo_84,10
2021-05-19T00:00:00,promo_85,8
2021-05-19T00:00:00,promo_86,4
2021-05-19T00:00:00,promo_87,10
2021-05-19T00:00:00,promo_88,17
2021-05-19T00:00:00,promo_9,10
2021-05-19T00:00:00,promo_90,17
2021-05-19T00:00:00,promo_91,12
2021-05-19T00:00:00,promo_92,21
2021-05-19T00:00:00,promo_93,4
2021-05-19T00:00:00,promo_94,15
2021-05-19T00:00:00,promo_95,12
2021-05-19T00:00:00,promo_96,9
2021-05-19T00:00:00,promo_97,7
2021-05-19T00:00:00,promo_98,19
2021-05-19T00:00:00,promo_99,6
2021-05-20T00:00:00,promo_0,9
2021-05-20T00:00:00,promo_1,6
2021-05-20T00:00:00,promo_10,14
2021-05-20T00:00:00,promo_11,10
2021-05-20T00:00:00,promo_12,10
2021-05-20T00:00:00,promo_13,7
2021-05-20T00:00:00,promo_14,7
2021-05-20T00:00:00,promo_15,18
2021-05-20T00:00:00,promo_16,15
2021-05-20T00:00:00,promo_17,6
2021-05-20T00:00:00,promo_18,5
2021-05-20T00:00:00,promo_19,5
2021-05-20T00:00:00,promo_2,10
2021-05-20T00:00:00,promo_20,13
2021-05-20T00:00:00,promo_21,8
2021-05-20T00:00:00,promo_22,10
2021-05-20T00:00:00,promo_23,2
2021-05-20T00:00:00,promo_24,8
2021-05-20T00:00:00,promo_25,9
2021-05-20T00:00:00,promo_26,3
2021-05-20T00:00:00,promo_27,10
2021-05-20T00:00:00,promo_28,17
2021-05-20T00:00:00,promo_29,5
2021-05-20T00:00:00,promo_3,13
2021-05-20T00:00:00,promo_30,15
2021-05-20T00:00:00,promo_31,14
2021-05-20T00:00:00,promo_32,10
2021-05-20T00:00:00,promo_33,8
2021-05-20T00:00:00,promo_34,2
2021-05-20T00:00:00,promo_35,17
2021-05-20T00:00:00,promo_36,12
2021-05-20T00:00:00,promo_37,5
2021-05-20T00:00:00,promo_38,12
2021-05-20T00:00:00,promo_39,15
2021-05-20T00:00:00,promo_4,9
2021-05-20T00:00:00,promo_40,10
2021-05-20T00:00:00,promo_41,12
2021-05-20T00:00:00,promo_42,11
2021-05-20T00:00:00,promo_43,7
2021-05-20T00:00:00,promo_44,11
2021-05-20T00:00:00,promo_45,10
2021-05-20T00:00:00,promo_46,12
2021-05-20T00:00:00,promo_47,3
2021-05-20T00:00:00,promo_48,10
2021-05-20T00:00:00,promo_49,13
2021-05-20T00:00:00,promo_5,4
2021-05-20T00:00:00,promo_50,14
2021-05-20T00:00:00,promo_51,11
2021-05-20T00:00:00,promo_52,12
2021-05-20T00:00:00,promo_53,14
2021-05-20T00:00:00,promo_54,11
2021-05-20T00:00:00,promo_55,15
2021-05-20T00:00:00,promo_56,8
2021-05-20T00:00:00,promo_57,8
2021-05-20T00:00:00,promo_58,4
2021-05-20T00:00:00,promo_59,12
2021-05-20T00:00:00,promo_6,9
2021-05-20T00:00:00,promo_60,9
2021-05-20T00:00:00,promo_61,7
2021-05-20T00:00:00,promo_63,10
2021-05-20T00:00:00,promo_64,5
2021-05-20T00:00:00,promo_65,15
2021-05-20T00:00:00,promo_66,9
2021-05-20T00:00:00,promo_67,9
2021-05-20T00:00:00,promo_68,17
2021-05-20T00:00:00,promo_69,12
2021-05-20T00:00:00,promo_7,3
2021-05-20T00:00:00,promo_70,5
2021-05-20T00:00:00,promo_71,17
2021-05-20T00:00:00,promo_72,13
2021-05-20T00:00:00,promo_73,13
2021-05-20T00:00:00,promo_74,13
2021-05-20T00:00:00,promo_75,7
2021-05-20T00:00:00,promo_76,20
2021-05-20T00:00:00,promo_77,8
2021-05-20T00:00:00,promo_78,15
2021-05-20T00:00:00,promo_79,8
2021-05-20T00:00:00,promo_8,3
2021-05-20T00:00:00,promo_80,13
2021-05-20T00:00:00,promo_81,5
2021-05-20T00:00:00,promo_82,8
2021-05-20T00:00:00,promo_83,19
2021-05-20T00:00:00,promo_84,11
2021-05-20T00:00:00,promo_85,17
2021-05-20T00:00:00,promo_86,4
2021-05-20T00:00:00,promo_87,8
2021-05-20T00:00:00,promo_88,12
2021-05-20T00:00:00,promo_9,5
2021-05-20T00:00:00,promo_90,16
2021-05-20T00:00:00,promo_91,23
2021-05-20T00:00:00,promo_92,9
2021-05-20T00:00:00,promo_93,6
2021-05-20T00:00:00,promo_94,16
2021-05-20T00:00:00,promo_95,12
2021-05-20T00:00:00,promo_96,19
2021-05-20T00:00:00,promo_97,4
2021-05-20T00:00:00,promo_98,11
2021-05-20T00:00:00,promo_99,4
2021-05-21T00:00:00,promo_0,9
2021-05-21T00:00:00,promo_1,8
2021-05-21T00:00:00,promo_10,13
2021-05-21T00:00:00,promo_11,15
2021-05-21T00:00:00,promo_12,15
2021-05-21T00:00:00,promo_13,8
2021-05-21T00:00:00,promo_14,15
2021-05-21T00:00:00,promo_15,13
2021-05-21T00:00:00,promo_16,11
2021-05-21T00:00:00,promo_17,6
2021-05-21T00:00:00,promo_18,7
2021-05-21T00:00:00,promo_19,1
2021-05-21T00:00:00,promo_2,7
2021-05-21T00:00:00,promo_20,13
2021-05-21T00:00:00,promo_21,7
2021-05-21T00:00:00,promo_22,16
2021-05-21T00:00:00,promo_23,9
2021-05-21T00:00:00,promo_24,12
2021-05-21T00:00:00,promo_25,11
2021-05-21T00:00:00,promo_26,4
2021-05-21T00:00:00,promo_27,8
2021-05-21T00:00:00,promo_28,7
2021-05-21T00:00:00,promo_29,4
2021-05-21T00:00:00,promo_3,18
2021-05-21T00:00:00,promo_30,18
2021-05-21T00:00:00,promo_31,13
2021-05-21T00:00:00,promo_32,5
2021-05-21T00:00:00,promo_33,10
2021-05-21T00:00:00,promo_34,6
2021-05-21T00:00:00,promo_35,8
2021-05-21T00:00:00,promo_36,16
2021-05-21T00:00:00,promo_37,6
2021-05-21T00:00:00,promo_38,15
2021-05-21T00:00:00,promo_39,12
2021-05-21T00:00:00,promo_4,9
2021-05-21T00:00:00,promo_40,12
2021-05-21T00:00:00,promo_41,7
2021-05-21T00:00:00,promo_42,6
2021-05-21T00:00:00,promo_43,10
2021-05-21T00:00:00,promo_44,7
2021-05-21T00:00:00,promo_45,11
2021-05-21T00:00:00,promo_46,14
2021-05-21T00:00:00,promo_47,1
2021-05-21T00:00:00,promo_48,11
2021-05-21T00:00:00,promo_49,10
2021-05-21T00:00:00,promo_5,5
2021-05-21T00:00:00,promo_50,7
2021-05-21T00:00:00,promo_51,11
2021-05-21T00:00:00,promo_52,5
2021-05-21T00:00:00,promo_53,10
2021-05-21T00:00:00,promo_54,8
2021-05-21T00:00:00,promo_55,11
2021-05-21T00:00:00,promo_56,9
2021-05-21T00:00:00,promo_57,6
2021-05-21T00:00:00,promo_58,6
2021-05-21T00:00:00,promo_59,9
2021-05-21T00:00:00,promo_6,9
2021-05-21T00:00:00,promo_60,6
2021-05-21T00:00:00,promo_61,5
2021-05-21T00:00:00,promo_63,14
2021-05-21T00:00:00,promo_64,13
2021-05-21T00:00:00,promo_65,10
2021-05-21T00:00:00,promo_66,9
2021-05-21T00:00:00,promo_67,5
2021-05-21T00:00:00,promo_68,14
2021-05-21T00:00:00,promo_69,1
2021-05-21T00:00:00,promo_7,4
2021-05-21T00:00:00,promo_70,3
2021-05-21T00:00:00,promo_71,17
2021-05-21T00:00:00,promo_72,8
2021-05-21T00:00:00,promo_73,14
2021-05-21T00:00:00,promo_74,16
2021-05-21T00:00:00,promo_75,12
2021-05-21T00:00:00,promo_76,6
2021-05-21T00:00:00,promo_77,6
2021-05-21T00:00:00,promo_78,17
2021-05-21T00:00:00,promo_8,5
2021-05-21T00:00:00,promo_80,13
2021-05-21T00:00:00,promo_81,11
2021-05-21T00:00:00,promo_82,9
2021-05-21T00:00:00,promo_83,14
2021-05-21T00:00:00,promo_84,6
2021-05-21T00:00:00,promo_85,12
2021-05-21T00:00:00,promo_87,11
2021-05-21T00:00:00,promo_88,14
2021-05-21T00:00:00,promo_9,4
2021-05-21T00:00:00,promo_90,16
2021-05-21T00:00:00,promo_91,22
2021-05-21T00:00:00,promo_92,18
2021-05-21T00:00:00,promo_93,5
2021-05-21T00:00:00,promo_94,16
2021-05-21T00:00:00,promo_95,11
2021-05-21T00:00:00,promo_96,10
2021-05-21T00:00:00,promo_97,8
2021-05-21T00:00:00,promo_98,16
2021-05-21T00:00:00,promo_99,6
2021-05-22T00:00:00,promo_0,13
2021-05-22T00:00:00,promo_1,6
2021-05-22T00:00:00,promo_10,10
2021-05-22T00:00:00,promo_11,15
2021-05-22T00:00:00,promo_12,16
2021-05-22T00:00:00,promo_13,5
2021-05-22T00:00:00,promo_14,12
2021-05-22T00:00:00,promo_15,10
2021-05-22T00:00:00,promo_16,9
2021-05-22T00:00:00,promo_17,9
2021-05-22T00:00:00,promo_18,14
2021-05-22T00:00:00,promo_19,2
2021-05-22T00:00:00,promo_2,5
2021-05-22T00:00:00,promo_20,12
2021-05-22T00:00:00,promo_21,8
2021-05-22T00:00:00,promo_22,14
2021-05-22T00:00:00,promo_23,4
2021-05-22T00:00:00,promo_24,9
2021-05-22T00:00:00,promo_25,5
2021-05-22T00:00:00,promo_26,1
2021-05-22T00:00:00,promo_27,12
2021-05-22T00:00:00,promo_28,26
2021-05-22T00:00:00,promo_29,5
2021-05-22T00:00:00,promo_3,9
2021-05-22T00:00:00,promo_30,14
2021-05-22T00:00:00,promo_31,9
2021-05-22T00:00:00,promo_32,3
2021-05-22T00:00:00,promo_33,11
2021-05-22T00:00:00,promo_34,7
2021-05-22T00:00:00,promo_35,10
2021-05-22T00:00:00,promo_36,8
2021-05-22T00:00:00,promo_37,4
2021-05-22T00:00:00,promo_38,16
2021-05-22T00:00:00,promo_39,15
2021-05-22T00:00:00,promo_4,8
2021-05-22T00:00:00,promo_40,12
2021-05-22T00:00:00,promo_41,19
2021-05-22T00:00:00,promo_42,8
2021-05-22T00:00:00,promo_43,15
2021-05-22T00:00:00,promo_44,14
2021-05-22T00:00:00,promo_45,10
2021-05-22T00:00:00,promo_46,17
2021-05-22T00:00:00,promo_47,8
2021-05-22T00:00:00,promo_48,13
2021-05-22T00:00:00,promo_49,7
2021-05-22T00:00:00,promo_5,2
2021-05-22T00:00:00,promo_50,9
2021-05-22T00:00:00,promo_51,8
2021-05-22T00:00:00,promo_52,6
2021-05-22T00:00:00,promo_53,14
2021-05-22T00:00:00,promo_54,14
2021-05-22T00:00:00,promo_55,19
2021-05-22T00:00:00,promo_56,11
2021-05-22T00:00:00,promo_57,8
2021-05-22T00:00:00,promo_58,7
2021-05-22T00:00:00,promo_59,18
2021-05-22T00:00:00,promo_6,7
2021-05-22T00:00:00,promo_60,8
2021-05-22T00:00:00,promo_61,5
2021-05-22T00:00:00,promo_63,7
2021-05-22T00:00:00,promo_64,12
2021-05-22T00:00:00,promo_65,16
2021-05-22T00:00:00,promo_66,11
2021-05-22T00:00:00,promo_67,14
2021-05-22T00:00:00,promo_68,15
2021-05-22T00:00:00,promo_69,9
2021-05-22T00:00:00,promo_7,4
2021-05-22T00:00:00,promo_70,1
