promotion_id,order_count,total_revenue,total_discount,client_count
promo_51,11.35483870967742,341.9791129032257,64.38191209677417,666
promo_55,15.016129032258064,445.1672580645161,47.79096290322582,877
promo_48,10.838709677419354,329.09346774193546,44.477966935483884,641
promo_74,10.758064516129032,332.38693548387096,24.830530645161293,628
promo_97,5.655737704918033,165.62598360655747,34.78145655737706,327
promo_81,9.129032258064516,279.58475806451617,2.7958475806451606,542
promo_71,14.193548387096774,419.70612903225805,28.115206451612913,834
promo_10,14.064516129032258,422.019758064516,61.593487903225814,825
promo_80,10.0,313.260564516129,41.837593548387105,589
promo_73,14.048387096774194,425.2276612903225,34.922143548387105,829
promo_39,13.96774193548387,421.81282258064516,37.652983064516135,831
promo_38,14.870967741935484,452.89701612903235,64.5112241935484,881
promo_36,9.258064516129032,269.3597580645161,29.344807258064513,547
promo_35,8.96774193548387,268.8940322580645,21.251597580645164,531
promo_18,10.596774193548388,317.60306451612917,18.07703870967742,632
promo_23,5.370967741935484,165.11741935483877,18.16291612903225,321
promo_45,10.35483870967742,312.7366935483871,22.39927016129032,604
promo_82,9.709677419354838,287.5762096774194,31.633383064516117,578
promo_65,14.193548387096774,427.0535483870966,19.33644677419355,825
promo_43,9.0,274.31048387096774,8.563560483870967,532
promo_14,8.935483870967742,270.86685483870974,16.252011290322578,529
promo_40,9.258064516129032,274.914435483871,43.986309677419364,549
promo_20,10.983870967741936,332.6645161290323,76.61031451612901,650
promo_8,5.316666666666666,161.1820833333334,25.78913333333334,307
promo_9,5.693548387096774,181.75403225806446,63.61391129032257,333
promo_91,14.838709677419354,447.0077419354839,100.48388306451609,874
promo_58,5.475409836065574,164.9915573770492,1.6499155737704916,322
promo_83,14.725806451612904,440.7258064516128,22.50972580645161,861
promo_41,14.35483870967742,422.1599193548387,33.74020806451614,846
promo_78,14.301587301587302,424.91571428571433,41.46582777777777,843
promo_53,13.548387096774194,399.6603225806452,62.18685322580646,801
promo_30,14.951612903225806,437.5959677419355,53.8775,884
promo_17,8.709677419354838,268.0432258064516,21.639678225806456,524
promo_16,14.317460317460318,427.07452380952367,63.64745793650795,861
promo_3,14.403225806451612,428.5214516129032,80.281525,845
promo_98,14.225806451612904,425.4264516129031,54.899873387096775,835
promo_96,14.35483870967742,439.5607258064517,45.30149435483871,840
promo_27,8.951612903225806,279.1600806451612,37.55345967741935,539
promo_22,13.612903225806452,413.5814516129032,39.54362096774191,809
promo_50,10.258064516129032,306.5529032258065,53.146064516129016,596
promo_59,14.031746031746032,430.9346031746031,64.4978333333333,850
promo_13,8.35483870967742,252.2387903225806,43.2508879032258,500
promo_31,14.370967741935484,427.6300806451614,59.04750403225805,834
promo_61,5.741935483870968,179.45040322580644,10.767024193548389,336
promo_33,9.387096774193548,288.2675806451613,46.12281290322581,548
promo_95,10.451612903225806,311.2205645161291,33.65583870967743,612
promo_11,14.666666666666666,441.99611111111113,100.51220793650792,877
promo_68,14.112903225806452,422.1091129032259,84.23589354838712,824
promo_15,13.887096774193548,412.8484677419354,42.802549193548394,822
promo_44,9.516129032258064,294.64112903225816,56.35822983870968,566
promo_99,5.419354838709677,166.0122580645162,1.6601225806451612,324
promo_94,14.225806451612904,430.5941129032259,66.5640943548387,837
promo_88,14.048387096774194,429.1970967741938,50.47089838709679,822
promo_12,14.46774193548387,439.7002419354839,74.84204838709678,853
promo_76,14.887096774193548,453.90282258064514,73.10154838709674,885
promo_0,8.564516129032258,265.74758064516135,36.666850806451606,510
promo_46,13.419354838709678,400.8608870967742,16.98502822580645,799
promo_90,14.451612903225806,438.5564516129033,57.88869758064517,859
promo_69,8.935483870967742,267.2059677419355,24.28386612903226,530
promo_28,14.870967741935484,443.505241935484,35.189681451612906,890
promo_75,9.258064516129032,282.3079032258064,39.675982258064515,556
promo_21,10.35483870967742,324.15564516129035,52.749596774193556,620
promo_85,14.17741935483871,427.92282258064523,33.23239112903224,844
promo_56,10.516129032258064,309.26330645161283,71.16092741935483,624
promo_86,5.370967741935484,157.83564516129033,17.36192096774193,322
promo_70,4.766666666666667,146.6194166666667,8.797165000000001,282
promo_25,11.080645161290322,336.7162903225806,53.10846129032258,655
promo_92,13.919354838709678,426.70959677419364,18.351112096774198,823
promo_26,5.274193548387097,167.04395161290324,26.727032258064522,313
promo_87,4.885245901639344,145.13909836065568,8.708345901639344,285
promo_84,9.387096774193548,277.9204838709678,41.91985806451612,567
promo_66,8.225806451612904,249.88500000000008,22.605523387096785,495
promo_64,9.14516129032258,269.8622580645161,17.95612258064516,543
promo_52,8.403225806451612,249.5559677419355,11.902382258064515,498
promo_37,8.85483870967742,266.6154838709677,48.424396774193546,530
promo_2,5.645161290322581,165.7233870967742,9.94340322580645,331
promo_5,5.467741935483871,167.20870967741936,10.032522580645164,323
promo_7,4.65,134.77033333333333,14.82473666666667,272
promo_32,5.564516129032258,166.79508064516128,35.02696693548388,330
promo_63,9.806451612903226,292.5089516129032,20.05020241935484,588
promo_47,4.806451612903226,147.22838709677418,38.27938064516129,287
promo_60,8.629032258064516,258.77967741935475,40.93928870967742,515
promo_6,8.741935483870968,257.0516129032257,25.100020161290328,523
promo_1,8.174603174603174,237.72960317460317,67.88192380952378,492
promo_49,8.758064516129032,260.5373387096774,19.148413709677424,517
promo_24,9.0,256.4795161290323,2.564795161290323,536
promo_4,9.064516129032258,280.84733870967733,56.83685645161292,540
promo_67,9.661290322580646,284.8660483870968,17.76719596774193,571
promo_72,9.774193548387096,287.73564516129034,9.259751612903226,576
promo_34,5.080645161290323,144.7372580645161,37.631687096774186,304
promo_77,8.903225806451612,265.04072580645163,42.406516129032276,531
promo_42,8.370967741935484,245.08177419354837,21.89789838709677,499
promo_29,5.241935483870968,152.08129032258066,1.5208129032258069,314
promo_57,8.548387096774194,256.22879032258066,30.382090322580645,502
promo_54,9.209677419354838,283.1915322580645,98.15338387096776,550
promo_79,4.1525423728813555,119.61398305084747,13.157538135593217,236
promo_93,4.016129032258065,117.77685483870967,30.621982258064513,238
promo_19,3.838709677419355,118.45629032258067,7.1073774193548385,224
