daily,total_discount
2021-05-18T00:00:00,32.11064999999999
2021-05-19T00:00:00,3709.470199999998
2021-05-20T00:00:00,3858.6419499999997
2021-05-21T00:00:00,3390.111049999996
2021-05-22T00:00:00,3663.2807500000026
2021-05-23T00:00:00,3683.6996000000026
2021-05-24T00:00:00,3652.1927000000005
2021-05-25T00:00:00,3348.827750000002
2021-05-26T00:00:00,3569.3911999999996
2021-05-27T00:00:00,3856.7693500000014
2021-05-28T00:00:00,3665.9816000000005
2021-05-29T00:00:00,3699.739599999997
2021-05-30T00:00:00,4157.970349999998
2021-05-31T00:00:00,3505.9934500000004
2021-06-01T00:00:00,3929.524350000006
2021-06-02T00:00:00,3853.7048500000014
2021-06-03T00:00:00,3740.427100000001
2021-06-04T00:00:00,3647.409549999999
2021-06-05T00:00:00,3770.4228999999955
2021-06-06T00:00:00,3731.5250500000006
2021-06-07T00:00:00,3622.6109499999984
2021-06-08T00:00:00,3441.0051000000008
2021-06-09T00:00:00,3542.613249999998
2021-06-10T00:00:00,3182.824650000001
2021-06-11T00:00:00,3449.16685
2021-06-12T00:00:00,3400.2820499999993
2021-06-13T00:00:00,3836.3255000000045
2021-06-14T00:00:00,3892.5552500000003
2021-06-15T00:00:00,3664.8097999999973
2021-06-16T00:00:00,3717.170099999997
2021-06-17T00:00:00,4041.5587499999983
2021-06-18T00:00:00,3673.181249999996
2021-06-19T00:00:00,3955.384900000004
2021-06-20T00:00:00,3654.6016
2021-06-21T00:00:00,3858.6154000000015
2021-06-22T00:00:00,3770.43135
2021-06-23T00:00:00,3741.5693000000006
2021-06-24T00:00:00,3706.766450000004
2021-06-25T00:00:00,3625.806199999996
2021-06-26T00:00:00,3946.294450000002
2021-06-27T00:00:00,3953.0554000000025
2021-06-28T00:00:00,3593.54835
2021-06-29T00:00:00,3733.718949999997
2021-06-30T00:00:00,3637.2150499999993
2021-07-01T00:00:00,3419.6649999999927
2021-07-02T00:00:00,3627.3683999999957
2021-07-03T00:00:00,3471.5537000000027
2021-07-04T00:00:00,3792.5050999999958
2021-07-05T00:00:00,4041.233299999995
2021-07-06T00:00:00,3849.8647999999957
2021-07-07T00:00:00,3336.714199999998
2021-07-08T00:00:00,3469.518700000002
2021-07-09T00:00:00,3781.4482000000035
2021-07-10T00:00:00,4237.342350000006
2021-07-11T00:00:00,3766.7771500000017
2021-07-12T00:00:00,3756.7681999999986
2021-07-13T00:00:00,3650.0010999999977
2021-07-14T00:00:00,3606.2051000000015
2021-07-15T00:00:00,3604.493000000001
2021-07-16T00:00:00,3799.225800000004
2021-07-17T00:00:00,4048.668550000001
2021-07-18T00:00:00,3558.920449999999
2021-07-19T00:00:00,3427.031249999999
