session_start_date,hour,isoweekday,latitude,longitude,ride,client,customer_anomaly,location_anomaly,weekday_hour_anomaly
2021-06-30T20:14:58,20,3,39.919067999999996,32.888049,24.433333333333334,u_u_1613102,1.0,0,1
2021-08-04T20:34:58,20,3,39.93007,32.870969,23.0,u_u_1967507,1.0,1,1
2021-05-19T18:07:18,18,3,39.92807,32.878969000000005,23.8,u_u_1017801,1.0,0,1
2021-06-30T20:05:35,20,3,39.897068,32.900049,23.416666666666668,u_u_1633893,1.0,1,1
2021-06-12T20:50:49,20,6,39.916581,32.814109,24.483333333333334,u_u_1747263,0.0,1,1
2021-07-11T21:49:13,21,7,39.971212,32.857037000000005,22.35,u_u_1102628,0.0,1,1
2021-08-23T22:15:39,22,1,39.923581,32.852109000000006,23.9,u_u_1929493,1.0,0,1
2021-05-21T22:09:09,22,5,39.899068,32.915049,22.566666666666666,u_u_1304321,0.0,1,1
2021-08-18T18:16:02,18,3,39.939581,32.843109000000005,22.5,u_u_1487197,0.0,1,1
2021-05-31T21:42:26,21,1,39.935069999999996,32.875969000000005,23.366666666666667,u_u_1595291,1.0,0,1
2021-05-23T18:45:55,18,7,39.929581,32.830109,23.733333333333334,u_216296,0.0,1,1
2021-06-09T19:34:03,19,3,39.944068,32.915049,24.25,u_u_1364062,1.0,1,1
2021-07-19T22:27:21,22,1,39.942068,32.928049,23.583333333333332,u_u_1508405,1.0,0,1
2021-05-28T19:06:09,19,5,39.979212000000004,32.876037000000004,23.666666666666668,u_u_1924849,0.0,1,1
2021-06-13T21:23:07,21,7,39.93707,32.877969,23.383333333333333,u_u_1065056,0.0,1,1
2021-06-03T20:45:27,20,4,39.919581,32.822109000000005,22.116666666666667,u_u_1011054,1.0,0,1
2021-07-13T19:43:57,19,2,39.907067999999995,32.928049,24.066666666666666,u_u_1913193,1.0,0,1
2021-07-29T22:30:32,22,4,39.937581,32.845109,24.4,u_u_1707356,1.0,0,1
2021-06-05T21:19:04,21,6,39.907581,32.829109,22.733333333333334,u_u_1928535,1.0,0,1
2021-05-03T22:04:04,22,1,39.969212,32.884037000000006,23.083333333333332,u_482041,1.0,0,1
2021-06-17T18:53:05,18,4,39.952581,32.862109000000004,22.45,u_u_1955787,1.0,0,1
2021-07-29T22:26:47,22,4,39.921580999999996,32.859109000000004,22.666666666666668,u_u_1515492,1.0,0,1
2021-08-13T22:36:59,22,5,39.953581,32.836109,23.766666666666666,u_u_1512414,0.0,1,1
2021-07-03T19:04:19,19,6,39.90107,32.864969,23.533333333333335,u_u_1039865,1.0,0,1
2021-07-24T18:06:13,18,6,39.95407,32.905969000000006,23.266666666666666,u_u_1381970,0.0,1,1
