hourly order differences,customers` average Purchase Value
0.0,0.0
482.12761418001367,29.6665017383291
506.12761418001367,29.790236216564846
530.1276141800137,29.97230935473913
554.1276141800137,29.934562220566225
578.1276141800137,29.637840321654313
602.1276141800137,29.990517009417808
626.1276141800137,29.6352952490863
650.1276141800137,29.466910944412398
674.1276141800137,30.06077322562029
698.1276141800137,29.700822273514056
722.1276141800137,30.010146181958035
746.1276141800137,29.84420080784759
770.1276141800137,30.126253125601046
794.1276141800137,29.477483169840262
818.1276141800137,29.908164070013395
2038.9098861914244,0.0
