daily,order_count
2021-05-18T00:00:00,7
2021-05-19T00:00:00,1461
2021-05-20T00:00:00,1453
2021-05-21T00:00:00,1547
2021-05-22T00:00:00,1458
2021-05-23T00:00:00,1564
2021-05-24T00:00:00,1470
2021-05-25T00:00:00,1487
2021-05-26T00:00:00,1481
2021-05-27T00:00:00,1472
2021-05-28T00:00:00,1461
2021-05-29T00:00:00,1488
2021-05-30T00:00:00,1447
2021-05-31T00:00:00,1481
2021-06-01T00:00:00,1454
2021-06-02T00:00:00,1436
2021-06-03T00:00:00,1507
2021-06-04T00:00:00,1467
2021-06-05T00:00:00,1472
2021-06-06T00:00:00,1525
2021-06-07T00:00:00,1484
2021-06-08T00:00:00,1477
2021-06-09T00:00:00,1440
2021-06-10T00:00:00,1469
2021-06-11T00:00:00,1456
2021-06-12T00:00:00,1534
2021-06-13T00:00:00,1563
2021-06-14T00:00:00,1414
2021-06-15T00:00:00,1396
2021-06-16T00:00:00,1479
2021-06-17T00:00:00,1449
2021-06-18T00:00:00,1540
2021-06-19T00:00:00,1550
2021-06-20T00:00:00,1518
2021-06-21T00:00:00,1503
2021-06-22T00:00:00,1464
2021-06-23T00:00:00,1437
2021-06-24T00:00:00,1501
2021-06-25T00:00:00,1382
2021-06-26T00:00:00,1544
2021-06-27T00:00:00,1488
2021-06-28T00:00:00,1425
2021-06-29T00:00:00,1476
2021-06-30T00:00:00,1471
2021-07-01T00:00:00,1463
2021-07-02T00:00:00,1490
2021-07-03T00:00:00,1552
2021-07-04T00:00:00,1564
2021-07-05T00:00:00,1390
2021-07-06T00:00:00,1445
2021-07-07T00:00:00,1462
2021-07-08T00:00:00,1499
2021-07-09T00:00:00,1454
2021-07-10T00:00:00,1549
2021-07-11T00:00:00,1466
2021-07-12T00:00:00,1489
2021-07-13T00:00:00,1474
2021-07-14T00:00:00,1479
2021-07-15T00:00:00,1481
2021-07-16T00:00:00,1480
2021-07-17T00:00:00,1506
2021-07-18T00:00:00,1492
2021-07-19T00:00:00,1540
