products,accept_Ratio,mean_control,mean_validation,is_orders_increased_per_products,diff
p_196,0.0,14.979958878569994,27.76799396201753,True,12.788035083447538
p_105,0.0,15.65471915744203,28.234487329144056,True,12.579768171702026
p_26,0.0,15.45936156305002,27.943514741249313,True,12.484153178199293
p_146,0.0,15.563266138724213,28.02350183339517,True,12.460235694670956
p_127,0.0,16.018044714064835,28.024737393941244,True,12.006692679876409
p_116,0.0,15.916469827774305,27.86487789467176,True,11.948408066897455
p_117,0.0,16.05879767184319,28.002692815335685,True,11.943895143492494
p_197,0.0,15.94663504968383,27.87685185185185,True,11.93021680216802
p_172,0.0,16.217476851851853,28.055648148148144,True,11.838171296296292
p_118,0.0,15.759811827956984,27.583781362007162,True,11.823969534050178
