promotions,accept_Ratio,mean_control,mean_validation,is_orders_increased_per_promotions,diff
promo_96,0.39999999999999963,6.651967990824732,5.944606923157127,False,-0.7073610676676045
promo_66,0.5,6.613263888888886,6.020486111111112,False,-0.5927777777777736
promo_56,0.466666666666666,6.7616993544595365,6.1812653841171175,False,-0.5804339703424191
promo_43,0.466666666666666,6.399930555555556,5.8277777777777775,False,-0.5721527777777782
promo_44,0.533333333333334,6.136484435302185,5.577296581447744,False,-0.559187853854441
promo_75,0.5,6.644444444444444,6.10722222222222,False,-0.5372222222222236
promo_98,0.4499999999999995,5.807908496732026,5.336862745098039,False,-0.4710457516339863
promo_63,0.6000000000000008,6.721666666666667,6.285416666666667,False,-0.43624999999999936
promo_61,0.5833333333333331,5.738660503540519,5.355753343823762,False,-0.3829071597167566
promo_9,0.616666666666667,6.074575163398691,5.725522875816992,False,-0.34905228758169926
promo_21,0.616666666666667,6.898921236784231,6.584093390683116,False,-0.3148278461011147
promo_26,0.5833333333333331,6.100514848975264,5.834082781639506,False,-0.2664320673357574
promo_28,0.5,5.932962684733061,5.668527159102678,False,-0.2644355256303834
promo_5,0.533333333333334,6.318253968253967,6.060780423280424,False,-0.2574735449735428
promo_2,0.39999999999999963,6.269783197831975,6.0328590785907865,False,-0.2369241192411886
promo_22,0.5666666666666667,5.806666666666666,5.5983333333333345,False,-0.20833333333333126
promo_17,0.5166666666666664,6.127164082687339,5.938145994832039,False,-0.18901808785529983
promo_19,0.5666666666666667,5.196437508347673,5.017714839606854,False,-0.17872266874081877
promo_59,0.4833333333333335,6.031257982120051,5.857471264367815,False,-0.1737867177522361
promo_31,0.533333333333334,5.286056596518018,5.119312712522828,False,-0.16674388399519025
promo_97,0.5833333333333331,6.54531532833841,6.385511724975612,False,-0.15980360336279809
promo_50,0.5833333333333331,5.998576956929514,5.8450229276386985,False,-0.15355402929081574
promo_46,0.5500000000000004,6.029360465116279,5.880523255813954,False,-0.14883720930232514
promo_69,0.5666666666666667,6.0380246913580224,5.904567901234568,False,-0.13345679012345446
promo_30,0.5,5.9025497855392155,5.8001141237745095,False,-0.10243566176470598
promo_81,0.5833333333333331,6.173090277777777,6.0752430555555526,False,-0.09784722222222442
promo_7,0.5833333333333331,5.786568627450979,5.718856209150328,False,-0.06771241830065122
promo_40,0.6000000000000008,5.892203282828285,5.825284090909092,False,-0.06691919191919293
promo_37,0.533333333333334,5.834947093285228,5.770774042564321,False,-0.06417305072090684
promo_58,0.616666666666667,5.924041109215528,5.862550507317951,False,-0.06149060189757716
promo_1,0.533333333333334,6.35344377334267,6.304343779178338,False,-0.049099994164332195
promo_42,0.5833333333333331,6.238065403244632,6.193478130835667,False,-0.04458727240896554
promo_49,0.7166666666666666,5.639297796062299,5.597172455676363,False,-0.04212534038593585
promo_90,0.533333333333334,5.601664463843397,5.571641348628044,False,-0.030023115215352725
promo_25,0.533333333333334,6.2101952682929245,6.199673077977694,False,-0.010522190315230162
promo_15,0.616666666666667,5.659207883317834,5.657990705640194,False,-0.00121717767764018
